@relation 'Dataset 2012_x_modified'

@attribute ﻿Country {Somalia,'Congo Democratic Republic',Sudan,'South Sudan',Chad,Zimbabwe,Afghanistan,Haiti,Yemen,Iraq,'Central African Republic','Cote dIvoire',Guinea,Pakistan,Nigeria,'Guinea Bissau',Kenya,Ethiopia,Burundi,Niger,Uganda,Myanmar,'North Korea',Eritrea,Syria,Liberia,Cameroon,Nepal,Timor-Leste,Bangladesh,'Sri Lanka',Egypt,'Sierra Leone','Congo Republic',Iran,Rwanda,Malawi,Cambodia,Mauritania,Togo,Uzbekistan,'Burkina Faso','Kyrgyz Republic','Equatorial Guinea',Zambia,Lebanon,Tajikistan,'Solomon Islands',Laos,Angola,Libya,Georgia,Colombia,Djibouti,'Papua New Guinea',Swaziland,Philippines,Comoros,Madagascar,Bhutan,Mozambique,'Israel and West Bank',Bolivia,Gambia,Indonesia,Fiji,Tanzania,Ecuador,Azerbaijan,Nicaragua,Guatemala,Senegal,Lesotho,Moldova,Benin,Honduras,China,Algeria,India,'Bosnia and Herzegovina',Mali,Turkmenistan,Venezuela,Russia,Thailand,Belarus,Turkey,Morocco,Maldives,Serbia,Jordan,'Cape Verde',Gabon,'El Salvador',Tunisia,'Dominican Republic',Vietnam,'Sao Tome and Principe',Mexico,Peru,'Saudi Arabia',Cuba,Armenia,Micronesia,Guyana,Suriname,Namibia,Kazakhstan,Paraguay,Macedonia,Malaysia,Samoa,Ghana,Belize,Ukraine,Cyprus,'South Africa',Botswana,Albania,Jamaica,Seychelles,Grenada,'Trinidad and Tobago',Brazil,'Brunei Darussalam',Bahrain,Romania,'Antigua and Barbuda',Kuwait,Mongolia,Bulgaria,Croatia,Panama,Montenegro,Bahamas,Barbados,Latvia,Oman,Greece,'Costa Rica','United Arab Emirates',Hungary,Qatar,Estonia,'Slovak Republic',Argentina,Italy,Mauritius,Poland,Lithuania,Malta,Chile,Japan,Spain,Uruguay,'Czech Republic','South Korea',Singapore,'United Kingdom','United States',Portugal,Slovenia,France,Belgium,Germany,Australia,Iceland,Netherlands,Austria,Canada,Ireland,'New Zealand',Luxembourg,Norway,Switzerland,Denmark,Sweden,Finland}
@attribute Total numeric
@attribute C1 numeric
@attribute C2 numeric
@attribute C3 numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute X1 numeric
@attribute VA numeric
@attribute GE numeric
@attribute RL numeric
@attribute PS numeric
@attribute CC numeric
@attribute POP numeric
@attribute TR {Alert,Warning,Stable,Sustainable}

@data
Bolivia,82.1,6.5,8,7.4,6.5,8.8,6.1,7.1,6.8,6.5,7.5,4.3,6.6,-0.08159,-0.36867,-1.01607,-0.45807,-0.7292,1.6,Warning
Gambia,80.6,5.8,6.8,3.7,7.4,6.5,6.8,7.8,7.2,7.5,7.8,6.1,7.2,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
Indonesia,80.6,7.1,7,7.1,6,7.2,6.6,6.7,6.2,6.8,7.4,6.3,6.2,0.06761,-0.27291,-0.57568,-0.59326,-0.63979,1.3,Warning
Fiji,80.5,7,7.9,7.6,7,7.7,7.3,8.8,5.2,7,5.1,3.3,6.6,-0.97868,-0.83801,-0.79122,-0.06777,-0.1101,0.7,Warning
Tanzania,80.4,5.8,5.7,5.8,6.9,5.9,6.1,6.5,8.5,6.5,8.2,7.1,7.4,-0.17601,-0.69142,-0.52937,0.05145,-0.75694,3.1,Warning
Ecuador,80.1,6.5,8.2,6.9,5.9,7.7,7.1,7.5,7.2,5.2,5.6,6,6.3,-0.29611,-0.50488,-1.13469,-0.57031,-0.57806,1.6,Warning
Azerbaijan,79.8,6.7,7.8,7.2,5.2,6.6,5.1,8,5.4,7.3,5.6,7.6,7.2,-1.29948,-0.78264,-0.83451,-0.71575,-1.12689,1.3,Warning
Nicaragua,79.6,5.9,6.8,6.2,6.9,8.2,7.5,7.4,7,5.7,6.5,4.3,7,-0.53634,-0.89496,-0.73224,-0.34878,-0.77457,1.2,Warning
Guatemala,79.4,7.3,6,7.1,6.1,7.6,6.8,6.8,6.7,6.7,7,5.9,5.4,-0.35614,-0.75544,-1.07631,-0.63382,-0.65876,2.1,Warning
Senegal,79.3,6.3,6.3,6,6.9,6.9,6.3,6,7.5,6.5,7.8,6.7,6,-0.00419,-0.46616,-0.28681,-0.10832,-0.25662,3,Warning
Lesotho,79,5.5,7,4.7,8.6,6.4,6.5,6.3,8,5.7,8.7,4.6,6.9,0.07233,-0.37544,-0.24485,0.2742,0.12143,1.2,Warning
Moldova,78.7,7.5,8,6.3,6.2,6.2,7.2,7.4,6,6.2,5.8,4.7,7.2,-0.03443,-0.56791,-0.32477,0.04649,-0.61375,0,Warning
Benin,78.6,6,6.4,3.6,7.6,6.9,6.3,6.4,8.3,5.4,8,6.8,7,0.12449,-0.51529,-0.58567,0.36437,-0.85653,2.8,Warning
Honduras,78.5,7,6.3,5.6,7.2,8.1,6.9,7,6.7,6.2,7.3,3.6,6.6,-0.46978,-0.69826,-1.14021,-0.35012,-0.95406,1.8,Warning
China,78.3,6,6.9,7.9,3.9,8.3,5.3,7.9,6.3,8.6,7.9,5.9,3.5,-1.63794,0.02343,-0.54289,-0.53878,-0.4357,0.5,Warning
Algeria,78.1,7.1,6.8,8.1,5.5,6.5,5.4,7.2,5.9,7.4,6.1,6.5,5.5,-0.90603,-0.53232,-0.77228,-1.32504,-0.50322,2,Warning
India,78,7.5,6.8,7.9,5.5,8.4,5.9,5.5,6.9,5.8,7.3,5.5,5,0.39945,-0.17095,-0.07196,-1.28931,-0.51324,1.3,Warning
'Bosnia and Herzegovina',77.9,6.7,8.7,8,5.5,6.5,5.8,7,4.7,6.1,4.7,6.5,7.7,-0.10033,-0.45726,-0.20674,-0.53815,-0.30439,-1.1,Warning
Mali,77.9,7.1,4.5,6,7.5,6.4,7.3,5.3,8,4.6,8.8,5.5,7,-0.49553,-0.9968,-0.67119,-2.03433,-0.82538,3,Warning
Turkmenistan,77.4,7.2,7.7,6.4,5.7,6.8,4.8,9,6.4,8.4,6.2,3.9,4.9,-2.25043,-1.2571,-1.40266,0.42809,-1.43132,1.8,Warning
Venezuela,77.3,6.7,7.3,6.7,5.9,7.2,6.1,7.9,6.3,7.7,5.7,4.5,5.2,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
Russia,77.1,8.2,8,7.9,4,7.3,5.4,7.9,5,8.1,6,5,4.3,-0.088365,-0.027809,-0.089526,-0.10486,-0.061934,1.526752,Warning
Thailand,77,7.3,8.8,7.8,4,6.9,4,6.5,4.7,7.2,8.2,6.7,4.9,-0.32114,0.22468,-0.15109,-1.21663,-0.36616,0.5,Warning
Belarus,76.6,6,8,6.5,6.5,6,4.2,9,5.5,8.3,6,3.3,7.3,-1.56718,-0.90163,-0.937,0.06862,-0.5175,-0.1,Warning
Turkey,76.6,7.7,7.5,8.6,5.6,7.1,4.2,6.2,6,5.3,6,6.5,5.9,-0.20693,0.40852,0.0363,-1.22053,0.15774,1.6,Warning
Morocco,76.1,6.6,6.6,6.8,5.6,7.2,6.7,6.6,6.2,6.4,6.1,6.2,5.2,-0.60567,-0.05917,-0.20918,-0.47046,-0.43676,1.4,Warning
Maldives,75.1,5.7,7.6,4.9,6.4,4.7,6.5,7.9,6.6,7.5,5.7,5.6,6.1,-0.46866,-0.21516,-0.54181,-0.36517,-0.7028,2.1,Warning
Serbia,75,6.4,8,7.9,6.2,6.2,4.7,6.6,4.6,5.8,5,6.3,7.3,0.19894,-0.10189,-0.3563,-0.2173,-0.3297,-0.5,Warning
