Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR,,,,
Venezuela,75.3,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Thailand,75.1,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6,-0.42993,0.248,-0.12053,-1.31168,-0.34356,0.4,Warning,,,,
Sao Tome and Principe,74.6,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Serbia,74.4,6.5,8,8,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7,0.28549,-0.08672,-0.32611,-0.07564,-0.30093,-0.5,Warning,,,,
Morocco,74.3,6.3,6.6,6.5,5.3,6.9,7,6.7,5.9,6.6,5.8,5.9,4.9,-0.69858,-0.03512,-0.24795,-0.49302,-0.37111,1.5,Warning,,,,
Cape Verde,73.7,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Dominican Republic,73.2,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9,0.11537,-0.46755,-0.53239,0.20743,-0.87459,1.2,Warning,,,,
El Salvador,73.2,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1,-0.01309,-0.11523,-0.61906,-0.03366,-0.3539,0.5,Warning,,,,
Mexico,73.1,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4,6.1,0.10839,0.3454,-0.54449,-0.71422,-0.51201,1.4,Warning,,,,
Vietnam,73.1,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6,-1.3664,-0.26564,-0.5148,0.25058,-0.47827,1.1,Warning,,,,
Gabon,72.9,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7,6.8,6.8,5.6,5.4,-0.86337,-0.83084,-0.53985,0.3301,-0.65776,3.4,Warning,,,,
Micronesia,72.9,5.4,5.6,4.2,7.5,8,8.4,6.3,6.3,3.1,7.1,3.1,7.9,-0.087348038,-0.023247152,-0.088084304,-0.103311329,-0.05873,1.504458599,Warning,,,,
Cuba,72.8,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7,-1.47867,-0.43978,-0.69726,0.37056,0.12016,0.3,Warning,,,,
Saudi Arabia,72.7,7.2,8,7.4,3.6,6.4,3.1,7.8,4,8.9,5.5,5.2,5.6,-1.87641,0.07314,0.15721,-0.43178,-0.02046,2.9,Warning,,,,
Peru,72.3,7,6.7,7,4.1,7.8,6.1,7.1,6.4,5,5.9,4.7,4.5,0.08479,-0.11477,-0.56597,-0.80574,-0.42349,1.3,Warning,,,,
Paraguay,71.8,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2,-0.10494,-0.87217,-0.80814,-0.73586,-1.03792,1.3,Warning,,,,
