Country,Total,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,VA,GE,RL,PS,CC,POP,TR
United States,35.4,2.8,4,5,2.8,4.8,1.5,2.4,2.1,3.7,3,2.1,1.1,1.10974,1.46378,1.59612,0.67806,1.39692,0.7,Sustainable
Singapore,34.4,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7,-0.16182,2.23676,1.81349,1.31175,2.09269,1.2,Sustainable
France,33.7,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4,1.20656,1.43705,1.41332,0.10671,1.30565,0.4,Sustainable
United Kingdom,33.4,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2,1.29775,1.74403,1.81308,0.51775,1.87635,0.8,Sustainable
Slovenia,31.5,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2,2,2.8,1.4,2.3,0.98676,0.97263,0.97458,0.95339,0.77299,0.1,Sustainable
Belgium,30.5,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,1.38735,1.4387,1.46351,0.58709,1.57329,0.6,Sustainable
Portugal,29.7,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5,1.1286,1.22058,1.14661,0.91784,0.96472,-0.4,Sustainable
Germany,28.1,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3,1.4219,1.73712,1.79501,0.69982,1.83787,0.9,Sustainable
Netherlands,26.9,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2,1.56104,1.8328,1.94421,0.92612,1.88427,0.4,Sustainable
Austria,25.8,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7,1.38344,1.47939,1.85526,1.14308,1.51926,1.1,Sustainable
Canada,25.6,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1,1.46703,1.76237,1.84208,1.2747,1.88656,0.9,Sustainable
Ireland,24.6,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,1.33458,1.53335,1.77491,0.90846,1.61535,1.3,Sustainable
Australia,24.3,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,1.3555,1.5648,1.82523,0.88498,1.88209,1.4,Sustainable
Iceland,23.4,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,1.37641,1.49234,1.66735,1.30816,1.93909,1,Sustainable
New Zealand,22.6,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,1.55474,1.88468,2.00141,1.52545,2.2756,1.9,Sustainable
Switzerland,22.3,1.4,1,3.6,2,2.7,2.1,1,1.4,1.8,1.9,2.1,1.3,1.5584,1.99837,1.94519,1.33936,2.13645,1.1,Sustainable
Luxembourg,22.1,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6,1.54671,1.72436,1.87467,1.4394,2.09666,2.4,Sustainable
Denmark,21.4,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,1.55272,1.84823,2.04239,0.89765,2.21105,0.7,Sustainable
Norway,20.9,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2,1.6878,1.8648,2.01116,1.16172,2.24278,1,Sustainable
Sweden,20.2,2.1,1.8,1.3,2.3,1.8,1.5,1,1.6,1,2.5,2.3,1,1.56521,1.8162,2.03781,0.94711,2.2411,1.1,Sustainable
Finland,17.7,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1,1.54348,1.81331,2.06312,1.04059,2.2753,0.3,Sustainable
